Size (Kb),Time (s),Throughput (Kb/s)
0.019,0.000754798,25.17229775
0.022,0.000728418,30.20243871
0.033,0.000726855,45.40107724
0.024,0.000747043,32.12666473
0.023,0.000739438,31.10470384
0.017,0.000738476,23.02038252
0.024,0.000769545,31.18726
0.02,0.000841459,23.76824064
0.023,0.000810462,28.37887526
0.067,0.00072951,91.8424696
0.033,0.000721375,45.74597124
0.026,0.000812435,32.0025602
0.036,0.000728799,49.39633562
0.02,0.000749157,26.69667373
0.043,0.000819498,52.47114697
0.038,0.000759275,50.04774291
0.034,0.000743295,45.74226922
0.031,0.000787228,39.37868064
0.037,0.00079353,46.62709664
0.022,0.00076135,28.89603993
0.037,0.000807686,45.80988156
0.081,0.000729961,110.9648324
0.035,0.000719731,48.62927955
0.126,0.000794702,158.5499974
0.03,0.000750449,39.97606766
0.042,0.000757903,55.41606248
0.02,0.000780395,25.62804734
0.029,0.00081011,35.79760773
0.033,0.000751651,43.90335408
0.024,0.000745239,32.20443375
0.04,0.000757382,52.81350758
0.052,0.000730852,71.14983608
0.033,0.000746402,44.21210018
0.029,0.000753715,38.47608181
0.028,0.000783371,35.74296215
0.028,0.00073505,38.09264676
0.036,0.000887597,40.55894736
0.024,0.000737705,32.53332972
0.039,0.000754447,51.69349205
0.045,0.000759727,59.231803
0.035,0.000715764,48.89879905
0.044,0.000706927,62.24122151
0.024,0.000829697,28.92622246
0.026,0.000780535,33.31048576
0.017,0.000784663,21.66535188
0.034,0.000775706,43.83103908
0.055,0.000793951,69.27379649
0.017,0.000768783,22.1128719
0.03,0.000795414,37.71620816
0.093,0.000734249,126.6600295
0.05,0.000744388,67.16927194
0.041,0.00079396,51.6398811
0.026,0.000726654,35.78044021
0.024,0.000785315,30.56098508
0.018,0.000798519,22.54173038
0.036,0.000724591,49.68320059
0.029,0.000727626,39.85564012
0.028,0.000736242,38.03097351
0.05,0.000743856,67.21731088
0.03,0.000736813,40.71589399
0.026,0.000745089,34.89516018
0.025,0.000712768,35.07452635
0.018,0.000781237,23.04038339
0.051,0.000720814,70.75334275
0.023,0.000716405,32.10474522
0.021,0.000734659,28.58469031
0.019,0.000751401,25.2860989
0.021,0.000752502,27.90690257
0.019,0.000737905,25.74857197
0.018,0.000774845,23.23045254
0.056,0.000733397,76.35700719
0.026,0.00072947,35.64231565
0.018,0.000767511,23.4524326
0.034,0.000831902,40.87019865
0.071,0.000752052,94.40836538
0.032,0.000881115,36.31762029
0.02,0.000709882,28.17369647
0.089,0.000762792,116.6766301
0.058,0.00074032,78.34449968
0.036,0.00074037,48.62433648
0.021,0.00075058,27.9783634
0.033,0.000758875,43.4854225
0.033,0.000770516,42.82844224
0.08,0.000720683,111.0058098
0.025,0.000725261,34.47034929
0.022,0.001068606,20.58756923
0.02,0.000744838,26.85147643
0.025,0.000737535,33.89669643
0.034,0.000818437,41.54259888
0.037,0.000799982,46.25104065
0.034,0.000764255,44.48776913
0.045,0.000734829,61.23873718
0.03,0.000732075,40.97940785
0.016,0.000818958,19.53702143
0.024,0.00075117,31.95015775
0.049,0.000716636,68.37501884
0.065,0.000698732,93.02565218
0.028,0.00075648,37.01353638
0.018,0.000737214,24.4162482
0.026,0.000891584,29.16158208
0.042,0.000701447,59.87622728
0.07,0.000901372,77.65939035
0.036,0.00082048,43.87675507
0.11,0.000856127,128.4856102
0.074,0.000795153,93.0638506
0.072,0.00075662,95.16005392
0.023,0.000767281,29.97598012
0.026,0.000790023,32.91043425
0.12,0.000758564,158.1936396
0.018,0.000741903,24.26193182
0.026,0.00074028,35.12184579
0.035,0.000719561,48.64076847
0.079,0.00076159,103.7303536
0.027,0.000733016,36.83412095
0.04,0.000804791,49.70234508
0.041,0.000741502,55.2931752
0.027,0.000776959,34.75086845
0.069,0.000765999,90.07844658
0.03,0.000754316,39.7711304
0.027,0.000731203,36.92545025
0.042,0.00073491,57.14985508
0.016,0.000724761,22.07624306
0.027,0.000727385,37.11926971
0.024,0.000807686,29.71451777
0.03,0.000759706,39.4889602
0.016,0.000743035,21.53330597
0.049,0.000742153,66.02412171
0.021,0.000725793,28.93386957
0.018,0.000739308,24.34709215
0.062,0.000779514,79.53673699
0.018,0.000755057,23.83925982
0.056,0.000927141,60.40073732
0.028,0.000773682,36.19057959
0.046,0.000795233,57.844682
0.016,0.000729169,21.94278693
0.037,0.000714872,51.75751743
0.023,0.000732144,31.41458511
0.017,0.000741723,22.91960745
0.019,0.000757111,25.09539552
0.031,0.000777179,39.8878508
0.043,0.000872108,49.30581992
0.021,0.000775947,27.06370409
0.064,0.00075626,84.62698014
0.016,0.000897656,17.82419992
0.037,0.00077769,47.57679795
0.02,0.000751241,26.62261511
0.034,0.000746041,45.57390277
0.024,0.000770927,31.13135226
0.022,0.000742253,29.6394895
0.021,0.000753093,27.88500225
0.034,0.000754397,45.06910818
0.02,0.000769675,25.98499367
0.017,0.000747905,22.73015958
0.021,0.000758684,27.6795082
0.02,0.000738346,27.08757141
0.029,0.000728067,39.83149902
0.042,0.000742624,56.55621149
0.049,0.00074007,66.20995311
0.02,0.000730702,27.37093918
0.032,0.000767892,41.67252687
0.037,0.000730943,50.61954215
0.086,0.000774053,111.1035032
0.187,0.000738055,253.3686514
0.023,0.000751931,30.58791299
0.065,0.000754566,86.14223275
0.037,0.00075071,49.28667528
0.018,0.000788691,22.82262635
0.074,0.000847852,87.27938367
0.04,0.001081721,36.97811173
0.048,0.000746372,64.3110942
0.035,0.000762571,45.89736562
0.02,0.000728177,27.46584965
0.019,0.000761821,24.94024187
0.131,0.000975391,134.3051146
0.022,0.000808898,27.19749585
0.124,0.000744789,166.4901066
0.029,0.000767642,37.77802674
0.066,0.00079879,82.62497027
0.02,0.000770717,25.94986227
0.028,0.000744027,37.63304289
0.025,0.000753665,33.17123656
0.055,0.000800353,68.71967744
0.099,0.000750879,131.8454771
0.023,0.000736683,31.22102723
0.016,0.000647576,24.70752468
0.063,0.000754356,83.5149452
0.034,0.000787498,43.17471282
0.027,0.000764605,35.31235082
0.072,0.000756811,95.13603793
0.016,0.000747905,21.39309137
0.046,0.000795654,57.81407496
0.046,0.00084651,54.34076384
0.018,0.000764194,23.55422838
0.024,0.000728839,32.9290831
